season,player_name,position,current_team,destination_team,current_standing,destination_standing,player_rating,destination_player_rating,team_improvement,player_gap,acceptance_score,recommendation_score
2025,Adama Sanogo,C,Chicago Bulls,Los Angeles Clippers,18,9,-0.876,1.266,0.963,2.141,0.725,0.868
2025,Adama Sanogo,C,Chicago Bulls,Indiana Pacers,18,6,-0.876,0.754,0.925,1.63,0.783,0.868
2025,Adama Sanogo,C,Chicago Bulls,Minnesota Timberwolves,18,10,-0.876,1.008,0.904,1.883,0.754,0.844
2025,Adama Sanogo,C,Chicago Bulls,Denver Nuggets,18,8,-0.876,1.827,0.911,2.703,0.667,0.813
2025,Adama Sanogo,C,Chicago Bulls,Golden State Warriors,18,12,-0.876,-0.087,0.711,0.789,0.888,0.782
2025,Adama Sanogo,C,Chicago Bulls,Los Angeles Lakers,18,7,-0.876,1.908,0.833,2.784,0.659,0.763
2025,Adama Sanogo,C,Chicago Bulls,Memphis Grizzlies,18,13,-0.876,0.773,0.726,1.649,0.781,0.748
2025,Adama Sanogo,C,Chicago Bulls,Milwaukee Bucks,18,11,-0.876,0.498,0.698,1.374,0.814,0.744
2025,Adama Sanogo,C,Chicago Bulls,Detroit Pistons,18,14,-0.876,0.988,0.461,1.863,0.756,0.579
2025,Adama Sanogo,C,Chicago Bulls,Orlando Magic,18,15,-0.876,0.455,0.28,1.33,0.819,0.496
2025,Adama Sanogo,C,Chicago Bulls,Atlanta Hawks,18,16,-0.876,0.616,0.122,1.492,0.8,0.393
2025,Adama Sanogo,C,Chicago Bulls,Sacramento Kings,18,17,-0.876,1.198,0.154,2.074,0.733,0.385
2025,Adem Bona,C,Philadelphia 76ers,Oklahoma City Thunder,26,1,0.171,1.018,3.024,0.847,0.881,2.166
2025,Adem Bona,C,Philadelphia 76ers,Cleveland Cavaliers,26,2,0.171,0.96,2.693,0.789,0.888,1.971
2025,Adem Bona,C,Philadelphia 76ers,Boston Celtics,26,3,0.171,0.929,2.594,0.758,0.892,1.914
2025,Adem Bona,C,Philadelphia 76ers,Houston Rockets,26,4,0.171,0.807,2.11,0.637,0.909,1.63
2025,Adem Bona,C,Philadelphia 76ers,New York Knicks,26,5,0.171,1.332,2.003,1.162,0.84,1.538
2025,Adem Bona,C,Philadelphia 76ers,Indiana Pacers,26,6,0.171,0.754,1.844,0.584,0.916,1.473
2025,Adem Bona,C,Philadelphia 76ers,Los Angeles Clippers,26,9,0.171,1.266,1.882,1.095,0.849,1.469
2025,Adem Bona,C,Philadelphia 76ers,Minnesota Timberwolves,26,10,0.171,1.008,1.823,0.837,0.882,1.447
2025,Adem Bona,C,Philadelphia 76ers,Denver Nuggets,26,8,0.171,1.827,1.83,1.657,0.78,1.41
2025,Adem Bona,C,Philadelphia 76ers,Golden State Warriors,26,12,0.171,-0.087,1.63,0,1,1.378
2025,Adem Bona,C,Philadelphia 76ers,Los Angeles Lakers,26,7,0.171,1.908,1.752,1.737,0.771,1.36
2025,Adem Bona,C,Philadelphia 76ers,Memphis Grizzlies,26,13,0.171,0.773,1.645,0.603,0.914,1.353
2025,Adem Bona,C,Philadelphia 76ers,Milwaukee Bucks,26,11,0.171,0.498,1.617,0.328,0.952,1.351
2025,Adem Bona,C,Philadelphia 76ers,Detroit Pistons,26,14,0.171,0.988,1.38,0.817,0.885,1.182
2025,Adem Bona,C,Philadelphia 76ers,Orlando Magic,26,15,0.171,0.455,1.199,0.284,0.958,1.103
2025,Adem Bona,C,Philadelphia 76ers,Atlanta Hawks,26,16,0.171,0.616,1.041,0.446,0.935,0.999
2025,Adem Bona,C,Philadelphia 76ers,Sacramento Kings,26,17,0.171,1.198,1.073,1.027,0.857,0.987
2025,Adem Bona,C,Philadelphia 76ers,Miami Heat,26,20,0.171,0.612,0.915,0.442,0.936,0.924
2025,Adem Bona,C,Philadelphia 76ers,Chicago Bulls,26,18,0.171,0.827,0.919,0.656,0.906,0.914
2025,Adem Bona,C,Philadelphia 76ers,Dallas Mavericks,26,19,0.171,1.114,0.89,0.944,0.868,0.881
2025,Adem Bona,C,Philadelphia 76ers,Phoenix Suns,26,21,0.171,0.34,0.62,0.17,0.975,0.762
2025,Adem Bona,C,Philadelphia 76ers,Portland Trail Blazers,26,22,0.171,0.7,0.624,0.53,0.924,0.744
2025,Adem Bona,C,Philadelphia 76ers,San Antonio Spurs,26,23,0.171,2.35,0.526,2.179,0.721,0.604
2025,Adem Bona,C,Philadelphia 76ers,Toronto Raptors,26,24,0.171,0.899,0.343,0.728,0.897,0.564
2025,Adem Bona,C,Philadelphia 76ers,Brooklyn Nets,26,25,0.171,0.443,0.058,0.273,0.96,0.419
2025,AJ Johnson,SG,Washington Wizards,Oklahoma City Thunder,29,1,-0.267,1.265,3.577,1.532,0.795,2.464
2025,AJ Johnson,SG,Washington Wizards,Cleveland Cavaliers,29,2,-0.267,1.342,3.246,1.609,0.786,2.262
2025,AJ Johnson,SG,Washington Wizards,Boston Celtics,29,3,-0.267,0.808,3.148,1.075,0.851,2.229
2025,AJ Johnson,SG,Washington Wizards,Houston Rockets,29,4,-0.267,0.724,2.664,0.991,0.862,1.943
2025,AJ Johnson,SG,Washington Wizards,New York Knicks,29,5,-0.267,0.807,2.557,1.073,0.851,1.874
2025,AJ Johnson,SG,Washington Wizards,Indiana Pacers,29,6,-0.267,0.275,2.398,0.541,0.922,1.807
2025,AJ Johnson,SG,Washington Wizards,Los Angeles Clippers,29,9,-0.267,1.026,2.436,1.292,0.824,1.791
2025,AJ Johnson,SG,Washington Wizards,Denver Nuggets,29,8,-0.267,0.812,2.384,1.079,0.851,1.771
2025,AJ Johnson,SG,Washington Wizards,Minnesota Timberwolves,29,10,-0.267,1.353,2.377,1.62,0.784,1.74
2025,AJ Johnson,SG,Washington Wizards,Los Angeles Lakers,29,7,-0.267,1.047,2.306,1.314,0.821,1.712
2025,AJ Johnson,SG,Washington Wizards,Golden State Warriors,29,12,-0.267,0.448,2.183,0.715,0.898,1.669
2025,AJ Johnson,SG,Washington Wizards,Memphis Grizzlies,29,13,-0.267,0.996,2.199,1.262,0.828,1.65
2025,AJ Johnson,SG,Washington Wizards,Milwaukee Bucks,29,11,-0.267,0.683,2.171,0.949,0.867,1.649
2025,AJ Johnson,SG,Washington Wizards,Detroit Pistons,29,14,-0.267,2.249,1.933,2.516,0.686,1.434
2025,AJ Johnson,SG,Washington Wizards,Orlando Magic,29,15,-0.267,0.142,1.753,0.408,0.941,1.428
2025,AJ Johnson,SG,Washington Wizards,Sacramento Kings,29,17,-0.267,0.908,1.626,1.175,0.838,1.311
2025,AJ Johnson,SG,Washington Wizards,Atlanta Hawks,29,16,-0.267,1.001,1.594,1.268,0.827,1.287
2025,AJ Johnson,SG,Washington Wizards,Chicago Bulls,29,18,-0.267,0.842,1.473,1.108,0.847,1.222
2025,AJ Johnson,SG,Washington Wizards,Miami Heat,29,20,-0.267,1.223,1.469,1.49,0.8,1.201
2025,AJ Johnson,SG,Washington Wizards,Dallas Mavericks,29,19,-0.267,1.335,1.443,1.602,0.786,1.18
2025,AJ Johnson,SG,Milwaukee Bucks,Oklahoma City Thunder,11,1,-0.482,1.265,1.406,1.747,0.769,1.152
2025,AJ Johnson,SG,Washington Wizards,Portland Trail Blazers,29,22,-0.267,0.782,1.177,1.049,0.854,1.048
2025,AJ Johnson,SG,Washington Wizards,Phoenix Suns,29,21,-0.267,1.298,1.173,1.565,0.791,1.02
2025,AJ Johnson,SG,Washington Wizards,San Antonio Spurs,29,23,-0.267,0.668,1.08,0.934,0.869,0.996
2025,AJ Johnson,SG,Milwaukee Bucks,Cleveland Cavaliers,11,2,-0.482,1.342,1.075,1.824,0.761,0.95
2025,AJ Johnson,SG,Milwaukee Bucks,Boston Celtics,11,3,-0.482,0.808,0.977,1.29,0.824,0.916
2025,AJ Johnson,SG,Washington Wizards,Toronto Raptors,29,24,-0.267,0.479,0.897,0.746,0.894,0.896
2025,AJ Johnson,SG,Washington Wizards,Brooklyn Nets,29,25,-0.267,0.95,0.612,1.216,0.833,0.7
2025,AJ Johnson,SG,Washington Wizards,Philadelphia 76ers,29,26,-0.267,1.127,0.554,1.394,0.811,0.657
2025,AJ Johnson,SG,Milwaukee Bucks,Houston Rockets,11,4,-0.482,0.724,0.493,1.206,0.834,0.63
2025,AJ Johnson,SG,Milwaukee Bucks,New York Knicks,11,5,-0.482,0.807,0.386,1.289,0.824,0.561
2025,AJ Johnson,SG,Washington Wizards,New Orleans Pelicans,29,27,-0.267,0.263,0.276,0.529,0.924,0.535
2025,AJ Johnson,SG,Washington Wizards,Charlotte Hornets,29,28,-0.267,0.355,0.228,0.621,0.911,0.501
2025,AJ Johnson,SG,Milwaukee Bucks,Indiana Pacers,11,6,-0.482,0.275,0.227,0.757,0.893,0.493
2025,AJ Johnson,SG,Milwaukee Bucks,Los Angeles Clippers,11,9,-0.482,1.026,0.265,1.508,0.798,0.478
2025,AJ Johnson,SG,Milwaukee Bucks,Denver Nuggets,11,8,-0.482,0.812,0.213,1.294,0.824,0.457
2025,AJ Johnson,SG,Milwaukee Bucks,Minnesota Timberwolves,11,10,-0.482,1.353,0.206,1.835,0.759,0.427
2025,AJ Johnson,SG,Milwaukee Bucks,Los Angeles Lakers,11,7,-0.482,1.047,0.135,1.529,0.795,0.399
2025,AJ Johnson,SG,Washington Wizards,Utah Jazz,29,30,-0.267,0.696,0.073,0.962,0.866,0.39
2025,AJ Johnson,SG,Milwaukee Bucks,Golden State Warriors,11,12,-0.482,0.448,0.013,0.93,0.87,0.355
2025,AJ Johnson,SG,Milwaukee Bucks,Memphis Grizzlies,11,13,-0.482,0.996,0.028,1.478,0.801,0.337
2025,Al Horford,C,Boston Celtics,Oklahoma City Thunder,3,1,-0.052,1.018,0.429,1.07,0.852,0.598
2025,Al Horford,C,Boston Celtics,Cleveland Cavaliers,3,2,-0.052,0.96,0.098,1.012,0.859,0.403
2025,Alec Burks,SG,Miami Heat,Oklahoma City Thunder,20,1,0.063,1.265,2.108,1.202,0.835,1.599
2025,Alec Burks,SG,Miami Heat,Cleveland Cavaliers,20,2,0.063,1.342,1.777,1.279,0.825,1.397
2025,Alec Burks,SG,Miami Heat,Boston Celtics,20,3,0.063,0.808,1.679,0.745,0.894,1.365
2025,Alec Burks,SG,Miami Heat,Houston Rockets,20,4,0.063,0.724,1.195,0.661,0.906,1.079
2025,Alec Burks,SG,Miami Heat,New York Knicks,20,5,0.063,0.807,1.088,0.744,0.894,1.01
2025,Alec Burks,SG,Miami Heat,Indiana Pacers,20,6,0.063,0.275,0.929,0.212,0.969,0.945
2025,Alec Burks,SG,Miami Heat,Los Angeles Clippers,20,9,0.063,1.026,0.967,0.963,0.866,0.926
2025,Alec Burks,SG,Miami Heat,Denver Nuggets,20,8,0.063,0.812,0.915,0.749,0.894,0.906
2025,Alec Burks,SG,Miami Heat,Minnesota Timberwolves,20,10,0.063,1.353,0.908,1.29,0.824,0.874
2025,Alec Burks,SG,Miami Heat,Los Angeles Lakers,20,7,0.063,1.047,0.837,0.984,0.863,0.847
2025,Alec Burks,SG,Miami Heat,Golden State Warriors,20,12,0.063,0.448,0.714,0.385,0.944,0.806
2025,Alec Burks,SG,Miami Heat,Memphis Grizzlies,20,13,0.063,0.996,0.73,0.932,0.869,0.786
2025,Alec Burks,SG,Miami Heat,Milwaukee Bucks,20,11,0.063,0.683,0.702,0.62,0.911,0.786
2025,Alec Burks,SG,Miami Heat,Detroit Pistons,20,14,0.063,2.249,0.464,2.186,0.72,0.567
2025,Alec Burks,SG,Miami Heat,Orlando Magic,20,15,0.063,0.142,0.284,0.079,0.988,0.566
2025,Alec Burks,SG,Miami Heat,Sacramento Kings,20,17,0.063,0.908,0.157,0.845,0.881,0.447
2025,Alec Burks,SG,Miami Heat,Atlanta Hawks,20,16,0.063,1.001,0.125,0.938,0.869,0.423
2025,Alec Burks,SG,Miami Heat,Chicago Bulls,20,18,0.063,0.842,0.004,0.778,0.89,0.358
2025,Alex Len,C,Sacramento Kings,Oklahoma City Thunder,17,1,-0.79,1.018,1.951,1.807,0.763,1.476
2025,Alex Len,C,Sacramento Kings,Cleveland Cavaliers,17,2,-0.79,0.96,1.62,1.75,0.769,1.28
2025,Alex Len,C,Sacramento Kings,Boston Celtics,17,3,-0.79,0.929,1.521,1.719,0.773,1.222
2025,Alex Len,C,Los Angeles Lakers,Oklahoma City Thunder,7,1,-1.133,1.018,1.271,2.15,0.724,1.053
2025,Alex Len,C,Sacramento Kings,Houston Rockets,17,4,-0.79,0.807,1.038,1.597,0.787,0.937
2025,Alex Len,C,Los Angeles Lakers,Cleveland Cavaliers,7,2,-1.133,0.96,0.94,2.092,0.731,0.856
2025,Alex Len,C,Sacramento Kings,New York Knicks,17,5,-0.79,1.332,0.93,2.122,0.727,0.849
2025,Alex Len,C,Los Angeles Lakers,Boston Celtics,7,3,-1.133,0.929,0.842,2.062,0.734,0.799
2025,Alex Len,C,Sacramento Kings,Indiana Pacers,17,6,-0.79,0.754,0.771,1.544,0.793,0.78
2025,Alex Len,C,Sacramento Kings,Los Angeles Clippers,17,9,-0.79,1.266,0.809,2.056,0.735,0.779
2025,Alex Len,C,Sacramento Kings,Minnesota Timberwolves,17,10,-0.79,1.008,0.75,1.798,0.764,0.756
2025,Alex Len,C,Sacramento Kings,Denver Nuggets,17,8,-0.79,1.827,0.757,2.617,0.675,0.725
2025,Alex Len,C,Sacramento Kings,Golden State Warriors,17,12,-0.79,-0.087,0.557,0.703,0.9,0.694
2025,Alex Len,C,Sacramento Kings,Los Angeles Lakers,17,7,-0.79,1.908,0.68,2.698,0.667,0.675
2025,Alex Len,C,Sacramento Kings,Memphis Grizzlies,17,13,-0.79,0.773,0.573,1.563,0.791,0.66
2025,Alex Len,C,Sacramento Kings,Milwaukee Bucks,17,11,-0.79,0.498,0.544,1.288,0.824,0.656
2025,Alex Len,C,Los Angeles Lakers,Houston Rockets,7,4,-1.133,0.807,0.358,1.94,0.748,0.514
2025,Alex Len,C,Sacramento Kings,Detroit Pistons,17,14,-0.79,0.988,0.307,1.777,0.766,0.491
2025,Alex Len,C,Los Angeles Lakers,New York Knicks,7,5,-1.133,1.332,0.251,2.465,0.691,0.427
2025,Alex Len,C,Sacramento Kings,Orlando Magic,17,15,-0.79,0.455,0.127,1.245,0.83,0.408
2025,Alex Len,C,Los Angeles Lakers,Los Angeles Clippers,7,9,-1.133,1.266,0.13,2.398,0.698,0.357
2025,Alex Len,C,Los Angeles Lakers,Indiana Pacers,7,6,-1.133,0.754,0.092,1.887,0.753,0.356
2025,Alex Len,C,Los Angeles Lakers,Minnesota Timberwolves,7,10,-1.133,1.008,0.071,2.14,0.725,0.333
2025,Alex Len,C,Los Angeles Lakers,Denver Nuggets,7,8,-1.133,1.827,0.078,2.96,0.641,0.303
2025,Alex Reese,PF,Philadelphia 76ers,Oklahoma City Thunder,26,1,-0.025,0.795,3.024,0.82,0.884,2.168
2025,Alex Reese,PF,Philadelphia 76ers,Cleveland Cavaliers,26,2,-0.025,1.717,2.693,1.742,0.77,1.924
2025,Alex Reese,PF,Philadelphia 76ers,Boston Celtics,26,3,-0.025,1.509,2.594,1.534,0.794,1.874
2025,Alex Reese,PF,Philadelphia 76ers,Houston Rockets,26,4,-0.025,0.863,2.11,0.888,0.875,1.616
2025,Alex Reese,PF,Philadelphia 76ers,New York Knicks,26,5,-0.025,0.825,2.003,0.85,0.88,1.554
2025,Alex Reese,PF,Philadelphia 76ers,Los Angeles Clippers,26,9,-0.025,-0.25,1.882,0,1,1.529
2025,Alex Reese,PF,Philadelphia 76ers,Denver Nuggets,26,8,-0.025,0.4,1.83,0.425,0.938,1.473
2025,Alex Reese,PF,Philadelphia 76ers,Indiana Pacers,26,6,-0.025,0.96,1.844,0.985,0.863,1.452
2025,Alex Reese,PF,Philadelphia 76ers,Minnesota Timberwolves,26,10,-0.025,0.731,1.823,0.756,0.893,1.451
2025,Alex Reese,PF,Philadelphia 76ers,Los Angeles Lakers,26,7,-0.025,0.286,1.752,0.311,0.954,1.433
2025,Alex Reese,PF,Philadelphia 76ers,Memphis Grizzlies,26,13,-0.025,0.525,1.645,0.55,0.921,1.356
2025,Alex Reese,PF,Philadelphia 76ers,Golden State Warriors,26,12,-0.025,0.698,1.63,0.723,0.897,1.337
2025,Alex Reese,PF,Philadelphia 76ers,Milwaukee Bucks,26,11,-0.025,2.524,1.617,2.549,0.682,1.243
2025,Alex Reese,PF,Philadelphia 76ers,Detroit Pistons,26,14,-0.025,0.573,1.38,0.598,0.914,1.194
2025,Alex Reese,PF,Philadelphia 76ers,Orlando Magic,26,15,-0.025,1.217,1.199,1.242,0.83,1.052
2025,Alex Reese,PF,Philadelphia 76ers,Sacramento Kings,26,17,-0.025,0.523,1.073,0.548,0.921,1.012
2025,Alex Reese,PF,Philadelphia 76ers,Atlanta Hawks,26,16,-0.025,0.235,1.041,0.26,0.962,1.009
2025,Alex Reese,PF,Philadelphia 76ers,Chicago Bulls,26,18,-0.025,0.411,0.919,0.436,0.937,0.926
2025,Alex Reese,PF,Philadelphia 76ers,Miami Heat,26,20,-0.025,0.861,0.915,0.886,0.876,0.899
2025,Alex Reese,PF,Philadelphia 76ers,Dallas Mavericks,26,19,-0.025,1.939,0.89,1.964,0.745,0.832
2025,Alex Reese,PF,Philadelphia 76ers,Portland Trail Blazers,26,22,-0.025,0.482,0.624,0.507,0.927,0.745
2025,Alex Reese,PF,Philadelphia 76ers,Phoenix Suns,26,21,-0.025,1.486,0.62,1.511,0.797,0.691
2025,Alex Reese,PF,Philadelphia 76ers,San Antonio Spurs,26,23,-0.025,0.484,0.526,0.509,0.927,0.686
2025,Alex Reese,PF,Philadelphia 76ers,Toronto Raptors,26,24,-0.025,1.283,0.343,1.308,0.822,0.534
2025,Alex Reese,PF,Philadelphia 76ers,Brooklyn Nets,26,25,-0.025,0.624,0.058,0.649,0.907,0.398
2025,Alex Sarr,C,Washington Wizards,Oklahoma City Thunder,29,1,0.184,1.018,3.577,0.834,0.882,2.499
2025,Alex Sarr,C,Washington Wizards,Cleveland Cavaliers,29,2,0.184,0.96,3.246,0.776,0.89,2.304
2025,Alex Sarr,C,Washington Wizards,Boston Celtics,29,3,0.184,0.929,3.148,0.745,0.894,2.246
2025,Alex Sarr,C,Washington Wizards,Houston Rockets,29,4,0.184,0.807,2.664,0.623,0.911,1.963
2025,Alex Sarr,C,Washington Wizards,New York Knicks,29,5,0.184,1.332,2.557,1.148,0.842,1.871
2025,Alex Sarr,C,Washington Wizards,Indiana Pacers,29,6,0.184,0.754,2.398,0.57,0.918,1.806
2025,Alex Sarr,C,Washington Wizards,Los Angeles Clippers,29,9,0.184,1.266,2.436,1.082,0.85,1.801
2025,Alex Sarr,C,Washington Wizards,Minnesota Timberwolves,29,10,0.184,1.008,2.377,0.824,0.884,1.78
2025,Alex Sarr,C,Washington Wizards,Denver Nuggets,29,8,0.184,1.827,2.384,1.643,0.782,1.743
2025,Alex Sarr,C,Washington Wizards,Golden State Warriors,29,12,0.184,-0.087,2.183,0,1,1.71
2025,Alex Sarr,C,Washington Wizards,Los Angeles Lakers,29,7,0.184,1.908,2.306,1.724,0.772,1.692
2025,Alex Sarr,C,Washington Wizards,Memphis Grizzlies,29,13,0.184,0.773,2.199,0.589,0.915,1.686
2025,Alex Sarr,C,Washington Wizards,Milwaukee Bucks,29,11,0.184,0.498,2.171,0.314,0.954,1.684
2025,Alex Sarr,C,Washington Wizards,Detroit Pistons,29,14,0.184,0.988,1.933,0.803,0.886,1.515
2025,Alex Sarr,C,Washington Wizards,Orlando Magic,29,15,0.184,0.455,1.753,0.271,0.96,1.436
2025,Alex Sarr,C,Washington Wizards,Atlanta Hawks,29,16,0.184,0.616,1.594,0.432,0.937,1.332
2025,Alex Sarr,C,Washington Wizards,Sacramento Kings,29,17,0.184,1.198,1.626,1.014,0.859,1.319
2025,Alex Sarr,C,Washington Wizards,Miami Heat,29,20,0.184,0.612,1.469,0.428,0.938,1.256
2025,Alex Sarr,C,Washington Wizards,Chicago Bulls,29,18,0.184,0.827,1.473,0.643,0.908,1.247
2025,Alex Sarr,C,Washington Wizards,Dallas Mavericks,29,19,0.184,1.114,1.443,0.93,0.87,1.214
2025,Alex Sarr,C,Washington Wizards,Phoenix Suns,29,21,0.184,0.34,1.173,0.156,0.977,1.095
2025,Alex Sarr,C,Washington Wizards,Portland Trail Blazers,29,22,0.184,0.7,1.177,0.516,0.925,1.077
2025,Alex Sarr,C,Washington Wizards,San Antonio Spurs,29,23,0.184,2.35,1.08,2.166,0.723,0.937
2025,Alex Sarr,C,Washington Wizards,Toronto Raptors,29,24,0.184,0.899,0.897,0.715,0.898,0.897
2025,Alex Sarr,C,Washington Wizards,Brooklyn Nets,29,25,0.184,0.443,0.612,0.259,0.962,0.752
