ID,Name,From,To,Height,Weight,Birth Date,Age,Nationality,Position,Shoots,College,Experience,Draft Year,Draft Round,Draft Pick,Draft Team,URL
30,Ochai Agbaji,2022-23,2025-26,196.0,97.0,2000-04-20,26.0,Wisconsin,Shooting Guard,Right,Kansas,4,2022.0,1.0,14.0,Cleveland Cavaliers,a/agbajoc01.html
31,Maurice Ager,2006-07,2010-11,196.0,91.0,1984-02-09,42.0,Michigan,Shooting Guard,Right,Michigan State,4,2006.0,1.0,28.0,Dallas Mavericks,a/agerma01.html
32,Mark Aguirre,1981-82,1993-94,198.0,105.0,1959-12-10,66.0,Illinois,Small Forward,Right,DePaul,13,1981.0,1.0,1.0,Dallas Mavericks,a/aguirma01.html
33,Blake Ahearn,2007-08,2011-12,188.0,86.0,1984-05-27,42.0,Missouri,Point Guard,Right,Missouri State,3,,,,,a/ahearbl01.html
34,Danny Ainge,1981-82,1994-95,196.0,83.0,1959-03-17,67.0,Oregon,Shooting Guard and Point Guard,Right,BYU,14,1981.0,2.0,8.0,Boston Celtics,a/aingeda01.html
36,Alexis Ajinça,2008-09,2016-17,218.0,112.0,1988-05-06,38.0,France,Center and Power Forward,Right,,7,2008.0,1.0,20.0,Charlotte Bobcats,a/ajincal01.html
37,Henry Akin,1966-67,1967-68,208.0,102.0,1944-07-31,81.0,Michigan,Power Forward and Center,Right,Morehead State University,2,1966.0,2.0,1.0,New York Knicks,a/akinhe01.html
38,Josh Akognon,2012-13,2012-13,180.0,83.0,1986-02-10,40.0,California,Point Guard,Right,Washington State,1,,,,,a/akognjo01.html
39,DeVaughn Akoon-Purcell,2018-19,2018-19,198.0,90.0,1993-06-05,33.0,Florida,Shooting Guard,Right,Illinois State,1,,,,,a/akoonde01.html
40,Solomon Alabi,2010-11,2011-12,216.0,113.0,1988-03-21,38.0,Nigeria,Center,Right,Florida State,2,2010.0,2.0,20.0,Dallas Mavericks,a/alabiso01.html
41,Mark Alarie,1986-87,1990-91,203.0,98.0,1963-12-11,62.0,Arizona,Power Forward,Right,Duke,5,1986.0,1.0,18.0,Denver Nuggets,a/alarima01.html
42,Gary Alcorn,1959-60,1960-61,206.0,102.0,1936-10-08,89.0,California,Center,Right,Fresno State,2,1958.0,13.0,1.0,Minneapolis Lakers,a/alcorga01.html
43,Santi Aldama,2021-22,2025-26,213.0,97.0,2001-01-10,25.0,Spain,Power Forward,Right,Loyola (MD),5,2021.0,1.0,30.0,Utah Jazz,a/aldamsa01.html
44,Furkan Aldemir,2014-15,2014-15,208.0,108.0,1991-08-09,34.0,Turkey,Power Forward,Right,,1,2012.0,2.0,23.0,Los Angeles Clippers,a/aldemfu01.html
45,Cole Aldrich,2010-11,2017-18,211.0,114.0,1988-10-31,37.0,Minnesota,Center,Right,Kansas,8,2010.0,1.0,11.0,New Orleans Hornets,a/aldrico01.html
46,LaMarcus Aldridge,2006-07,2021-22,211.0,113.0,1985-07-19,40.0,Texas,Power Forward and Center,Right,Texas,16,2006.0,1.0,2.0,Chicago Bulls,a/aldrila01.html
47,Chuck Aleksinas,1984-85,1984-85,211.0,117.0,1959-02-26,67.0,Connecticut,Center,Right,Kentucky,1,1982.0,4.0,7.0,Chicago Bulls,a/aleksch01.html
48,Cliff Alexander,2015-16,2015-16,203.0,111.0,1995-11-16,30.0,Illinois,Power Forward,Right,Kansas,1,,,,,a/alexacl01.html
49,Cory Alexander,1995-96,2004-05,185.0,83.0,1973-06-22,53.0,Virginia,Point Guard and Shooting Guard,Right,Virginia,7,1995.0,1.0,29.0,San Antonio Spurs,a/alexaco01.html
50,Courtney Alexander,2000-01,2002-03,196.0,92.0,1977-04-27,49.0,Connecticut,Point Guard and Shooting Guard,Right,Virginia,3,2000.0,1.0,13.0,Orlando Magic,a/alexaco02.html
51,Gary Alexander,1993-94,1993-94,201.0,108.0,1969-11-01,56.0,Florida,Power Forward,Right,South Florida,1,,,,,a/alexaga01.html
52,Joe Alexander,2008-09,2009-10,203.0,104.0,1986-12-26,39.0,Taiwan,Small Forward,Right,West Virginia,2,2008.0,1.0,8.0,Milwaukee Bucks,a/alexajo01.html
53,Kyle Alexander,2019-20,2019-20,211.0,99.0,1996-10-21,29.0,Ontario,Center,Right,Tennessee,1,,,,,a/alexaky01.html
54,Trey Alexander,2024-25,2025-26,196.0,83.0,2003-05-02,23.0,Oklahoma,Shooting Guard,Right,Creighton,2,,,,,a/alexatr01.html
55,Ty-Shon Alexander,2020-21,2020-21,190.0,88.0,1998-07-16,28.0,North Carolina,Shooting Guard,Right,Creighton,1,,,,,a/alexaty01.html
56,Victor Alexander,1991-92,2001-02,206.0,120.0,1969-08-31,56.0,Michigan,Center,Right,Iowa State,5,1991.0,1.0,17.0,Golden State Warriors,a/alexavi01.html
57,Nickeil Alexander-Walker,2019-20,2025-26,196.0,92.0,1998-09-02,27.0,Ontario,Shooting Guard,Right,Virginia Tech,7,2019.0,1.0,17.0,Brooklyn Nets,a/alexani01.html
58,Steve Alford,1987-88,1990-91,188.0,83.0,1964-11-23,61.0,Indiana,Point Guard,Right,Indiana,4,1987.0,2.0,3.0,Dallas Mavericks,a/alforst01.html
59,Rawle Alkins,2018-19,2018-19,196.0,102.0,1997-10-29,28.0,New York,Shooting Guard,Right,Arizona,1,,,,,a/alkinra01.html
61,Bob Allen,1968-69,1968-69,206.0,92.0,1946-07-17,79.0,Michigan,Power Forward,Right,Marshall,1,1968.0,6.0,7.0,San Francisco Warriors,a/allenbo01.html
62,Grayson Allen,2018-19,2025-26,190.0,89.0,1995-10-08,30.0,Florida,Shooting Guard,Right,Duke,8,2018.0,1.0,21.0,Utah Jazz,a/allengr01.html
63,Jarrett Allen,2017-18,2025-26,206.0,110.0,1998-04-21,28.0,California,Center,Right,Texas,9,2017.0,1.0,22.0,Brooklyn Nets,a/allenja01.html
64,Jerome Allen,1995-96,1996-97,193.0,83.0,1973-01-28,53.0,Pennsylvania,Shooting Guard,Right,Penn,2,1995.0,2.0,20.0,Minnesota Timberwolves,a/allenje01.html
65,Kadeem Allen,2017-18,2019-20,185.0,90.0,1993-01-15,33.0,North Carolina,Point Guard,Right,Arizona,3,2017.0,2.0,23.0,Boston Celtics,a/allenka01.html
66,Lavoy Allen,2011-12,2016-17,206.0,117.0,1989-02-04,37.0,Pennsylvania,Power Forward and Center,Right,Temple,6,2011.0,2.0,20.0,Philadelphia 76ers,a/allenla01.html
67,Lucius Allen,1969-70,1978-79,188.0,79.0,1947-09-26,78.0,Kansas,Point Guard,Right,UCLA,10,1969.0,1.0,3.0,Seattle SuperSonics,a/allenlu01.html
68,Malik Allen,2001-02,2010-11,208.0,115.0,1978-06-27,48.0,New Jersey,Power Forward,Right,Villanova,10,,,,,a/allenma01.html
69,Randy Allen,1988-89,1989-90,203.0,99.0,1965-01-26,61.0,Florida,Shooting Guard,Right,Florida State,2,,,,,a/allenra01.html
70,Ray Allen,1996-97,2013-14,196.0,92.0,1975-07-20,50.0,California,Shooting Guard,Right,UConn,18,1996.0,1.0,5.0,Minnesota Timberwolves,a/allenra02.html
71,Timmy Allen,2023-24,2023-24,198.0,95.0,2000-01-09,26.0,Arizona,Small Forward,Right,Utah,1,,,,,a/allenti01.html
72,Tony Allen,2004-05,2017-18,193.0,96.0,1982-01-11,44.0,Illinois,"Shooting Guard, Small Forward, and Point Guard",Right,Butler County Community College,14,2004.0,1.0,25.0,Boston Celtics,a/allento01.html
74,Odis Allison,1971-72,1971-72,198.0,88.0,1949-10-02,76.0,California,Small Forward,Right,UNLV,1,1971.0,5.0,8.0,Golden State Warriors,a/allisod01.html
75,Lance Allred,2007-08,2007-08,211.0,113.0,1981-02-02,45.0,Utah,Center,Right,Utah,1,,,,,a/allrela01.html
76,Darrell Allums,1980-81,1980-81,206.0,99.0,1958-09-12,67.0,California,Power Forward,Right,UCLA,1,1980.0,5.0,11.0,Dallas Mavericks,a/allumda01.html
77,Morris Almond,2007-08,2011-12,198.0,102.0,1985-02-02,41.0,Georgia,Shooting Guard,Right,Rice University,3,2007.0,1.0,25.0,Utah Jazz,a/almonmo01.html
78,Derrick Alston,1994-95,1996-97,211.0,102.0,1972-08-20,53.0,New York,Center,Right,Duquesne,3,1994.0,2.0,6.0,Philadelphia 76ers,a/alstode01.html
79,Rafer Alston,1999-00,2009-10,188.0,77.0,1976-07-24,49.0,New York,Point Guard,Right,Fresno State,11,1998.0,2.0,10.0,Milwaukee Bucks,a/alstora01.html
80,Peter Aluma,1998-99,1998-99,208.0,117.0,1973-04-23,53.0,Nigeria,Center,Right,Liberty,1,,,,,a/alumape01.html
81,Jose Alvarado,2021-22,2025-26,183.0,81.0,1998-04-12,28.0,New York,Point Guard,Right,Georgia Tech,5,,,,,a/alvarjo01.html
82,John Amaechi,1995-96,2002-03,208.0,122.0,1970-11-26,55.0,Massachusetts,Center and Power Forward,Right,Vanderbilt,5,,,,,a/amaecjo01.html
83,Ashraf Amaya,1995-96,1996-97,203.0,104.0,1971-11-23,54.0,Illinois,Power Forward,Right,Southern Illinois,2,,,,,a/amayaas01.html
84,Al-Farouq Aminu,2010-11,2020-21,206.0,99.0,1990-09-21,35.0,Georgia,Power Forward and Small Forward,Right,Wake Forest,11,2010.0,1.0,8.0,Los Angeles Clippers,a/aminual01.html
85,Lou Amundson,2006-07,2015-16,206.0,99.0,1982-12-07,43.0,California,Power Forward,Right,UNLV,10,,,,,a/amundlo01.html
86,Bob Anderegg,1959-60,1959-60,190.0,90.0,1937-08-24,88.0,Wisconsin,Small Forward,Right,Michigan State,1,1959.0,3.0,6.0,New York Knicks,a/anderbo01.html
87,Chris Andersen,2001-02,2016-17,208.0,111.0,1978-07-07,48.0,California,Center and Power Forward,Right,Blinn College,15,,,,,a/anderch01.html
88,David Andersen,2009-10,2010-11,211.0,111.0,1980-06-23,46.0,Australia,Power Forward and Center,Right,,2,2002.0,2.0,8.0,Atlanta Hawks,a/anderda03.html
89,Alan Anderson,2005-06,2016-17,198.0,99.0,1982-10-16,43.0,Minnesota,Small Forward and Shooting Guard,Right,Michigan State,8,,,,,a/anderal01.html
91,Antonio Anderson,2009-10,2009-10,198.0,97.0,1985-06-05,41.0,Massachusetts,Small Forward,Right,Memphis,1,,,,,a/anderan02.html
92,Cliff Anderson,1967-68,1970-71,188.0,90.0,1944-09-07,81.0,Pennsylvania,Shooting Guard,Right,Saint Joseph's,3,1967.0,4.0,4.0,Los Angeles Lakers,a/andercl01.html
94,Dan Anderson,1974-75,1975-76,188.0,83.0,1951-01-01,75.0,California,Point Guard and Shooting Guard,Right,USC,2,1974.0,6.0,2.0,Portland Trail Blazers,a/anderda02.html
95,Derek Anderson,1997-98,2007-08,196.0,87.0,1974-07-18,51.0,Kentucky,"Shooting Guard, Small Forward, and Point Guard",Right,Ohio State,11,1997.0,1.0,13.0,Cleveland Cavaliers,a/anderde01.html
96,Dwight Anderson,1982-83,1982-83,190.0,83.0,1960-12-28,65.0,Ohio,Point Guard,Right,Kentucky,1,1982.0,2.0,18.0,Washington Bullets,a/anderdw01.html
97,Eric Anderson,1992-93,1993-94,206.0,99.0,1970-05-26,56.0,Illinois,Power Forward,Right,Indiana,2,,,,,a/anderer01.html
98,Greg Anderson,1987-88,1997-98,208.0,104.0,1964-06-22,62.0,Texas,Power Forward and Center,Right,Houston,10,1987.0,1.0,23.0,San Antonio Spurs,a/andergr01.html
99,J.J. Anderson,1982-83,1984-85,203.0,88.0,1960-09-23,65.0,Illinois,Small Forward,Right,Bradley,3,1982.0,2.0,13.0,Philadelphia 76ers,a/anderjj01.html
100,James Anderson,2010-11,2015-16,198.0,96.0,1989-03-25,37.0,Arkansas,Shooting Guard and Small Forward,Right,Oklahoma State,5,2010.0,1.0,20.0,San Antonio Spurs,a/anderja01.html
101,Jerome Anderson,1975-76,1976-77,196.0,88.0,1953-10-09,72.0,West Virginia,Shooting Guard,Right,West Virginia,2,1975.0,3.0,17.0,Boston Celtics,a/anderje01.html
102,Justin Anderson,2015-16,2021-22,198.0,104.0,1993-11-19,32.0,Virginia,Small Forward and Shooting Guard,Left,Virginia,6,2015.0,1.0,21.0,Dallas Mavericks,a/anderju01.html
103,Kenny Anderson,1991-92,2004-05,185.0,76.0,1970-10-09,55.0,New York,Point Guard,Left,Georgia Tech,14,1991.0,1.0,2.0,New Jersey Nets,a/anderke01.html
104,Kim Anderson,1978-79,1978-79,201.0,90.0,1955-05-12,71.0,Missouri,Small Forward,Right,Missouri,1,1977.0,2.0,6.0,Portland Trail Blazers,a/anderki01.html
105,Kyle Anderson,2014-15,2025-26,203.0,104.0,1993-09-20,32.0,New York,Small Forward and Power Forward,Right,UCLA,12,2014.0,1.0,30.0,San Antonio Spurs,a/anderky01.html
106,Michael Anderson,1988-89,1988-89,180.0,83.0,1966-03-23,60.0,Pennsylvania,Point Guard,Right,Drexel,1,1988.0,3.0,23.0,Indiana Pacers,a/andermi01.html
107,Nick Anderson,1989-90,2001-02,198.0,92.0,1968-01-20,58.0,Illinois,Shooting Guard and Small Forward,Right,Illinois,13,1989.0,1.0,11.0,Orlando Magic,a/anderni01.html
108,Richard Anderson,1982-83,1989-90,208.0,108.0,1960-11-19,65.0,California,Power Forward and Center,Right,UC Santa Barbara,6,1982.0,2.0,9.0,San Diego Clippers,a/anderri01.html
109,Ron Anderson,1984-85,1993-94,201.0,97.0,1958-10-15,67.0,Illinois,Small Forward,Right,Fresno State,10,1984.0,2.0,3.0,Cleveland Cavaliers,a/anderro01.html
110,Ryan Anderson,2008-09,2019-20,206.0,108.0,1988-05-06,38.0,California,Power Forward and Center,Right,California,12,2008.0,1.0,21.0,New Jersey Nets,a/anderry01.html
111,Shandon Anderson,1996-97,2005-06,198.0,94.0,1973-12-31,52.0,Georgia,Shooting Guard and Small Forward,Right,Georgia,10,1996.0,2.0,25.0,Utah Jazz,a/andersh01.html
112,Willie Anderson,1988-89,1996-97,201.0,86.0,1967-01-08,59.0,South Carolina,Shooting Guard and Small Forward,Right,Georgia,9,1988.0,1.0,10.0,San Antonio Spurs,a/anderwi01.html
113,Wally Anderzunas,1969-70,1969-70,201.0,99.0,1946-01-11,80.0,Nebraska,Small Forward,Right,Creighton,1,1968.0,6.0,6.0,Detroit Pistons,a/anderwa01.html
114,Martynas Andriuškevičius,2005-06,2005-06,218.0,108.0,1986-03-12,40.0,Lithuania,Center,Right,,1,2005.0,2.0,14.0,Orlando Magic,a/andrima01.html
115,Don Anielak,1954-55,1954-55,201.0,86.0,1930-11-01,95.0,Missouri,Forward,Right,Missouri State,1,1954.0,3.0,8.0,New York Knicks,a/anieldo01.html
116,Ike Anigbogu,2017-18,2018-19,206.0,114.0,1998-10-17,27.0,California,Center,Right,UCLA,2,2017.0,2.0,17.0,Indiana Pacers,a/anigbik01.html
117,Michael Ansley,1989-90,1991-92,201.0,102.0,1967-02-08,59.0,Alabama,Small Forward,Right,Alabama,3,1989.0,2.0,10.0,Orlando Magic,a/anslemi01.html
118,Chris Anstey,1997-98,1999-00,213.0,112.0,1975-01-01,51.0,Australia,Center,Right,,3,1997.0,1.0,18.0,Portland Trail Blazers,a/anstech01.html
119,Alex Antetokounmpo,2025-26,2025-26,203.0,97.0,2001-08-27,24.0,Greece,Small Forward,Right,,1,,,,,a/antetal01.html
120,Giannis Antetokounmpo,2013-14,2025-26,211.0,110.0,1994-12-06,31.0,Greece,"Power Forward, Small Forward, Point Guard, and Shooting Guard",Right,,13,2013.0,1.0,15.0,Milwaukee Bucks,a/antetgi01.html
121,Kostas Antetokounmpo,2018-19,2020-21,208.0,90.0,1997-11-20,28.0,Greece,Power Forward and Small Forward,Right,Dayton,3,2018.0,2.0,30.0,Philadelphia 76ers,a/antetko01.html
122,Thanasis Antetokounmpo,2015-16,2025-26,201.0,99.0,1992-07-18,33.0,Greece,Small Forward and Power Forward,Right,,7,2014.0,2.0,21.0,New York Knicks,a/antetth01.html
123,Carmelo Anthony,2003-04,2021-22,201.0,107.0,1984-05-29,42.0,New York,Small Forward and Power Forward,Right,Syracuse,19,2003.0,1.0,3.0,Denver Nuggets,a/anthoca01.html
124,Cole Anthony,2020-21,2025-26,188.0,83.0,2000-05-15,26.0,Oregon,Point Guard,Right,UNC,6,2020.0,1.0,15.0,Orlando Magic,a/anthoco01.html
125,Greg Anthony,1991-92,2001-02,183.0,79.0,1967-11-15,58.0,Nevada,Point Guard,Left,University of Portland,11,1991.0,1.0,12.0,New York Knicks,a/anthogr01.html
126,Joel Anthony,2007-08,2016-17,206.0,111.0,1982-08-09,43.0,Quebec,Center and Power Forward,Left,UNLV,10,,,,,a/anthojo01.html
127,Pero Antić,2013-14,2014-15,211.0,117.0,1982-07-29,43.0,North Macedonia,Center,Right,,2,,,,,a/anticpe01.html
128,OG Anunoby,2017-18,2025-26,201.0,108.0,1997-07-17,28.0,United Kingdom,Small Forward and Power Forward,Right,Indiana,9,2017.0,1.0,23.0,Toronto Raptors,a/anunoog01.html
129,Keith Appling,2015-16,2015-16,185.0,83.0,1992-02-13,34.0,Michigan,Point Guard,Right,Michigan State,1,,,,,a/applike01.html
130,Rafael Araújo,2004-05,2006-07,211.0,127.0,1980-08-12,45.0,Brazil,Center,Right,BYU,3,2004.0,1.0,8.0,Toronto Raptors,a/araujra01.html
131,Stacey Arceneaux,1961-62,1961-62,193.0,95.0,1936-02-17,90.0,New York,Forward,Right,Iowa State,1,,,,,a/arcenst01.html
132,Robert Archibald,2002-03,2003-04,211.0,113.0,1980-03-29,46.0,United Kingdom,Power Forward and Center,Right,Illinois,2,2002.0,2.0,3.0,Memphis Grizzlies,a/archiro01.html
133,Tiny Archibald,1970-71,1983-84,185.0,68.0,1948-09-02,77.0,New York,Point Guard,Left,Arizona Western College,13,1970.0,2.0,2.0,Cincinnati Royals,a/architi01.html
134,Ryan Arcidiacono,2017-18,2023-24,190.0,88.0,1994-03-26,32.0,Pennsylvania,Point Guard,Right,Villanova,7,,,,,a/arcidry01.html
135,Jim Ard,1974-75,1977-78,203.0,97.0,1948-09-19,77.0,Illinois,Center,Right,Cincinnati,4,1970.0,1.0,6.0,Seattle SuperSonics,a/ardji01.html
136,Gilbert Arenas,2001-02,2011-12,193.0,86.0,1982-01-06,44.0,Florida,Point Guard,Right,Arizona,11,2001.0,2.0,2.0,Golden State Warriors,a/arenagi01.html
137,Trevor Ariza,2004-05,2021-22,203.0,97.0,1985-06-30,41.0,Florida,Small Forward and Shooting Guard,Right,UCLA,18,2004.0,2.0,14.0,New York Knicks,a/arizatr01.html
138,Paul Arizin,1950-51,1961-62,193.0,86.0,1928-04-09,98.0,Pennsylvania,Small Forward,Right,Villanova,10,1950.0,1.0,3.0,Philadelphia Warriors,a/arizipa01.html
139,Joe Arlauckas,1987-88,1987-88,206.0,104.0,1965-07-20,60.0,New York,Small Forward,Right,Niagara University,1,1987.0,4.0,5.0,Sacramento Kings,a/arlaujo01.html
140,B.J. Armstrong,1989-90,1999-00,188.0,79.0,1967-09-09,58.0,Michigan,Point Guard,Right,Iowa,11,1989.0,1.0,18.0,Chicago Bulls,a/armstbj01.html
141,Bob Armstrong,1956-57,1956-57,203.0,99.0,1933-06-17,93.0,Michigan,Center/Forward,Right,Michigan State,1,1955.0,6.0,2.0,Rochester Royals,a/armstbo01.html
142,Brandon Armstrong,2001-02,2003-04,196.0,85.0,1980-06-16,46.0,California,Shooting Guard,Left,Pepperdine,3,2001.0,1.0,23.0,Houston Rockets,a/armstbr01.html
143,Curly Armstrong,1949-50,1950-51,180.0,77.0,1918-11-01,107.0,Indiana,Guard/Forward,Right,Indiana,2,,,,,a/armstcu01.html
144,Darrell Armstrong,1994-95,2007-08,185.0,81.0,1968-06-22,58.0,North Carolina,Point Guard,Right,Fayetteville State University,14,,,,,a/armstda01.html
145,Hilton Armstrong,2006-07,2013-14,211.0,106.0,1984-11-11,41.0,New York,Center and Power Forward,Right,UConn,6,2006.0,1.0,12.0,New Orleans/Oklahoma City Hornets,a/armsthi01.html
146,Tate Armstrong,1977-78,1978-79,190.0,79.0,1955-10-05,70.0,Georgia,Shooting Guard,Right,Duke,2,1977.0,1.0,13.0,Chicago Bulls,a/armstta01.html
147,Jesse Arnelle,1955-56,1955-56,196.0,99.0,1933-12-30,92.0,New York,Power Forward,Right,Penn State,1,1955.0,2.0,7.0,Fort Wayne Pistons,a/arnelje01.html
148,Jay Arnette,1963-64,1965-66,188.0,79.0,1938-12-19,87.0,Texas,Shooting Guard and Point Guard,Right,Texas,3,1960.0,2.0,1.0,Cincinnati Royals,a/arnetja01.html
149,Bob Arnzen,1970-71,1970-71,196.0,92.0,1947-11-03,78.0,Kentucky,Small Forward,Right,Notre Dame,1,1969.0,8.0,4.0,Detroit Pistons,a/arnzebo01.html
150,Carlos Arroyo,2001-02,2010-11,188.0,91.0,1979-07-30,46.0,Puerto Rico,Point Guard and Shooting Guard,Right,Florida International University,9,,,,,a/arroyca01.html
151,Darrell Arthur,2008-09,2017-18,206.0,106.0,1988-03-25,38.0,Texas,Power Forward and Small Forward,Right,Kansas,9,2008.0,1.0,27.0,New Orleans Hornets,a/arthuda01.html
152,John Arthurs,1969-70,1969-70,193.0,83.0,1947-08-15,78.0,United States,Guard,Right,Tulane,1,1969.0,6.0,2.0,Milwaukee Bucks,a/arthujo01.html
153,Jamel Artis,2017-18,2017-18,201.0,96.0,1993-01-12,33.0,Maryland,Shooting Guard,Right,Pitt,1,,,,,a/artisja01.html
154,Ömer Aşık,2010-11,2017-18,213.0,115.0,1986-07-04,40.0,Turkey,Center,Right,,8,2008.0,2.0,6.0,Portland Trail Blazers,a/asikom01.html
155,Vincent Askew,1987-88,1997-98,198.0,95.0,1966-02-28,60.0,Tennessee,Shooting Guard,Right,Memphis,9,1987.0,2.0,16.0,Philadelphia 76ers,a/askewvi01.html
156,Keith Askins,1990-91,1998-99,201.0,89.0,1967-12-15,58.0,Alabama,Small Forward,Right,Alabama,9,,,,,a/askinke01.html
157,Don Asmonga,1953-54,1953-54,188.0,83.0,1928-02-15,98.0,Pennsylvania,Guard,Right,Alliance College,1,,,,,a/asmondo01.html
158,Dick Atha,1955-56,1957-58,188.0,86.0,1931-09-21,94.0,Indiana,Shooting Guard,Right,Indiana State University,2,1953.0,3.0,,New York Knicks,a/athadi01.html
159,Chucky Atkins,1999-00,2009-10,180.0,72.0,1974-08-14,51.0,Florida,Point Guard and Shooting Guard,Right,South Florida,11,,,,,a/atkinch01.html
